col1,col2,col3,col4,col5,col6,col7,col8,col9
96,3,2,2,2004,52.173899,21.111994,9032,1.34054064750671
76,3,1,8,2000,52.14111,21.0725,8882,1.35556483268738
132,3,9,9,1998,52.246667,20.986534,6334,0.553454875946045
63,3,3,4,1955,52.2227,21.0215,23334,1.13721990585327
210,5,6,7,2000,52.24053,21.034167,12000,1.46161198616028
50,2,4,4,2018,52.247923,21.104532,11300,2.37805938720703
66,2,1,4,2010,52.3106,21.0773,7425,2.55342030525208
37,2,2,4,1975,52.19512,20.88379,7973,1.89860677719116
55,2,2,7,2001,52.240907,20.91133,9255,1.5836615562439
64,3,6,12,1981,52.316029,20.965343,5938,1.94738054275513
90,3,2,8,2012,52.190658,21.017941,15800,2.89353227615356
82,3,3,4,2007,52.171724,21.050515,10854,2.37522673606873
31,1,7,12,1978,52.174803,21.056598,10646,1.0302746295929
50,2,2,4,1996,52.226469,21.099206,8200,1.22733068466187
52,2,1,4,1990,52.183326,21.007074,11520,2.46202778816223
32,1,0,4,2007,52.251211,21.232876,14591,2.37297058105469
48,2,1,7,2005,52.235461,20.937753,10000,0.93144965171814
48,3,8,15,1970,52.23585,20.99284,9855,1.20233464241028
50,2,2,4,1950,52.243378,20.992663,11500,1.12784552574158
38,2,4,10,1962,52.2069,21.04873,11816,0.355411052703857
51,2,5,5,1996,52.229176,20.953899,8432,1.66357231140137
73,3,1,3,2013,52.200465,20.953764,9316,1.57706356048584
46,2,3,3,1960,52.241102,20.97389,9457,0.553454875946045
98,3,3,5,2017,52.20256,21.016917,15000,0.379605770111084
210,5,6,7,2000,52.26971,20.98462,12000,1.39083909988403
145,5,0,1,2018,52.17991,20.94782,7138,0.355411052703857
133,3,10000,30,2017,52.231,21.0031,39775,1.80792427062988
30,1,2,4,2018,52.283289,20.943471,17667,2.72817301750183
34,1,11,16,1979,52.236758,20.987305,10442,1.16432189941406
45,2,1,3,1939,52.257283,21.052551,9978,2.11764621734619
37,2,8,14,2018,52.23338,20.95718,13514,2.87663888931274
38,2,7,10,1970,52.2362,20.9463,12079,2.54029440879822
63.5,3,3,3,1989,52.13927,21.04474,11008,2.40781211853027
69,3,8,8,2006,52.332015,20.948504,7955,1.99516463279724
61,3,6,12,1981,52.316029,20.965343,6230,1.60261821746826
48,2,9,11,1962,52.237186,21.004654,13959,0.583395123481751
44,2,0,3,1936,52.246667,20.986534,8182,0.508907914161682
147,5,6,6,1936,52.2351,21.035,19293,1.82083058357239
78,1,1,8,2011,52.2371,21.0024,15385,1.99426507949829
56,3,0,3,1950,52.247163,21.132759,10000,0.280135273933411
64,3,2,2,2009,52.178274,20.94273,7811,1.94614362716675
60,2,3,5,2000,52.201672,20.870343,8000,0.973748564720154
62,3,2,4,2010,52.246573,20.909913,9920,2.29808163642883
38,2,2,6,2018,52.177833,21.04164,10500,1.3795793056488
46,3,0,4,1974,52.186013,21.05118,10109,0.260579228401184
46,2,3,3,1950,52.242475,20.995674,12000,1.83728384971619
38,2,4,10,1973,52.238457,21.063471,10395,0.568881988525391
71,3,1,2,2016,52.322496,21.04919,7324,2.81016397476196
51,3,1,3,1980,52.195295,20.980138,11844,2.46755385398865
81,3,4,10,2016,52.24053,21.034167,12963,1.98017501831055
48,2,9,11,1962,52.230527,21.010752,13959,0.962005853652954
71,2,3,4,1934,52.1942,21.0347,8874,1.62326216697693
61,3,6,7,2020,52.17634,21.00011,9673,2.31935906410217
37,2,0,4,1970,52.191123,21.060999,9029,0.502599239349365
43,3,0,4,1960,52.195667,21.010699,9535,0.291379690170288
74,3,6,8,2008,52.266246,20.944635,10500,2.38300633430481
53,3,2,4,1974,52.180991,21.04687,9340,1.1027398109436
39,2,11,15,1972,52.218433,21.222216,11411,2.06467866897583
55,2,4,7,2000,52.245187,20.990873,11546,1.44064831733704
38,2,0,4,1963,52.23338,20.95718,10922,1.65079593658447
30,1,2,4,2018,52.282067,20.941052,17667,2.5387876033783
35,2,0,5,1968,52.192466,21.010388,10200,1.98172950744629
34,1,6,7,1956,52.243447,20.998663,9559,0.346978902816772
34.2,2,11,15,1975,52.23194,21.01111,15790,2.63362812995911
49,2,0,3,1955,52.248154,21.08197,8143,0.68820333480835
69,3,0,3,2010,52.23942,21.153534,10073,2.04339599609375
58,3,2,5,1955,52.238733,20.972042,10483,1.93973612785339
61,3,0,10,1970,52.285592,21.034527,6066,0.277583003044128
41,2,0,10,1975,52.23157,20.96791,10464,1.31709051132202
56,3,2,4,1936,52.213026,20.975614,10071,1.09256529808044
69,3,9,10,1980,52.15241,21.04378,8682,2.50821828842163
68.9,3,0,10,1980,52.15241,21.04378,8114,1.47675275802612
63,2,7,8,2015,52.240567,20.994405,16300,1.87537693977356
48,2,2,8,2015,52.238267,20.985977,17396,2.17089128494263
48,2,8,10,1966,52.23059,21.06051,9271,1.75768113136292
48,2,3,8,2015,52.238723,20.988529,17500,2.67450761795044
68,2,1,5,2005,52.253854,20.931987,10000,2.1792094707489
47,3,3,4,1965,52.199625,21.034313,9128,0.83822500705719
26,1,1,9,1966,52.246457,20.988121,12116,0.494502186775208
117,5,5,6,2003,52.146874,21.04995,10770,1.45681691169739
31,1,4,12,1981,52.175588,21.051397,9581,1.1892671585083
58,3,1,3,1976,52.28238,21.06537,7932,0.553454875946045
140,6,1,2,2016,52.266197,21.159982,4993,2.31989288330078
32,1,3,3,1950,52.200611,21.02972,11875,1.95920014381409
57,3,1,4,1952,52.244557,20.99078,8597,1.01842570304871
95.32,4,5,5,2019,52.2405,21.0342,6721,1.18761086463928
33.4,1,0,4,1929,52.260314,21.041352,13743,2.08803653717041
76,3,1,8,2006,52.24053,21.034167,11448,2.80101895332336
38,2,6,12,1968,52.210889,21.008538,12343,2.8529839515686
28,1,2,2,2010,52.318429,21.07647,7411,1.54971766471863
50,2,0,3,1950,52.23338,20.95718,8780,1.57554173469543
42,2,6,10,1978,52.24053,21.034167,12905,2.70089507102966
52,2,0,3,1938,52.203611,21.011942,11500,1.93482851982117
50,2,3,4,2014,52.161481,21.076172,15000,2.76680612564087
43,2,6,7,2018,52.18,20.99,13719,2.34943914413452
85.06,3,3,3,2011,52.20587,20.921559,9394,1.43347859382629
38,2,2,10,1970,52.29612,21.04285,9448,2.45719599723816
39,2,2,6,2018,52.2405,21.0342,12964,0.379605770111084
130,4,4,5,1998,52.183019,21.055806,6600,1.99546456336975
28,1,2,3,1965,52.229485,21.06386,11393,0.657698750495911
55,2,0,3,2010,52.316954,21.059289,8182,1.29881834983826
28,1,1,2,2010,52.312742,21.072975,8893,1.19725346565247
67,3,6,8,2006,52.174463,21.02229,9702,1.57101702690125
45,2,1,4,2016,52.2693,20.9819,11956,2.22214102745056
54,3,7,10,1970,52.294314,21.035778,9797,0.196088194847107
72,3,3,3,2008,52.244959,20.903974,13473,2.4889645576477
55,3,1,5,1937,52.206722,21.008992,13819,1.48401880264282
70,2,5,8,2016,52.179844,21.021389,11715,2.6181788444519
38,1,5,7,1958,52.2067,21.039,10658,0.730441570281982
47.8,2,3,3,2002,52.2364,20.9962,7532,1.00876545906067
112,4,3,3,1995,52.2152,21.0454,8900,1.95742440223694
73,3,2,3,1997,52.24053,21.034167,7946,1.45186543464661
52,2,1,10,2001,52.29332,20.92866,11154,2.12845516204834
73,2,8,9,1952,52.215971,21.015907,12192,1.4845826625824
62,3,3,3,1989,52.138905,21.044791,7904,0.842465996742249
32,2,3,8,1960,52.214081,20.974166,11563,1.52329325675964
50,2,10,11,1993,52.23764,21.08562,8500,1.72242426872253
47,2,8,10,1978,52.235005,21.104129,7341,0.501355409622192
60,2,1,4,1920,52.251269,21.012233,13300,1.44857239723206
33,1,2,4,1920,52.250408,21.012941,17243,1.56689357757568
73,4,8,10,1984,52.240907,20.91133,8069,0.746198892593384
48,3,8,10,1971,52.172877,21.010732,9792,1.83697319030762
72,2,2,3,1954,52.2452,21.018,23334,1.39121317863464
26,1,8,11,1975,52.284856,20.93451,13424,2.44247245788574
85,3,0,4,1936,52.2658,20.9842,20942,1.90246987342834
69,3,0,3,2010,52.23942,21.153534,9783,1.83831238746643
30,1,0,10,1980,52.296509,21.045764,9634,0.71289849281311
80,2,3,6,2001,52.19832,21.01715,10875,1.97184252738953
68,3,1,2,2001,52.13421,21.010788,8089,1.90366291999817
37.99,2,8,10,1968,52.226147,21.0379,11846,1.58001685142517
49,2,2,2,1950,52.1997,21.0065,10592,1.62370944023132
80,4,1,6,2017,52.3357,20.9512,8738,2.80048799514771
57,3,7,10,1979,52.228,21.0882,7895,1.38811111450195
136,5,1,2,2000,52.1953,20.9278,7648,1.81239676475525
47,2,1,10,1976,52.292079,21.048061,6362,1.64796209335327
47,3,4,10,1974,52.28846,21.035609,6171,1.07247710227966
64.98,3,6,6,2007,52.195,20.9853,12312,1.92681956291199
103,4,3,3,2006,52.1334,21.0661,10049,1.90993785858154
134,7,8,10,2007,52.184656,21.026432,10000,2.40459513664246
49,2,7,8,1986,52.139125,21.047379,9980,1.76362776756287
24,1,2,3,1960,52.2338,20.9292,10417,1.24634981155396
148,4,2,2,2018,52.2772,20.9669,12838,0.355411052703857
33.4,1,0,4,1929,52.260727,21.042406,13743,1.98330640792847
66,3,6,6,2018,52.222245,20.940105,12273,2.88750267028809
34,1,11,16,1970,52.236758,20.987305,10442,0.913964986801147
76,4,1,2,1970,52.129233,21.004777,5356,1.24348044395447
64,3,6,12,1981,52.24053,21.034167,5938,1.83043789863586
84,3,4,4,1937,52.24053,21.034167,14286,1.70387053489685
44,2,3,4,1956,52.2095,21.038425,10228,0.723761677742004
51,3,1,8,1973,52.248587,20.952077,9648,1.28583645820618
47,2,3,7,1950,52.211812,20.975883,11171,2.65042042732239
37,2,0,10,1966,52.246694,20.981669,10136,0.798094272613525
53,2,0,8,2008,52.2232,20.9178,10567,2.25739669799805
33.4,1,0,4,1929,52.260314,21.041352,13743,2.08803653717041
62,3,2,5,2009,52.3055,20.9286,9759,1.8109495639801
118,5,3,4,2002,52.24053,21.034167,5467,1.64397549629211
47,2,2,3,1980,52.150347,21.055842,9320,1.00910258293152
63,3,3,3,1989,52.138905,21.044791,12540,2.15406775474548
26,1,4,6,2011,52.24053,21.034167,15174,2.60894107818604
43,2,3,5,2019,52.189187,21.050148,10466,0.497522830963135
53,2,2,7,2018,52.174193,20.990123,14038,1.99568724632263
74,4,3,7,1979,52.23658,20.908383,9257,1.71422719955444
51,2,2,3,2001,52.143971,21.057796,10883,2.54022836685181
47,2,1,4,1950,52.239364,20.968076,10192,2.66377067565918
38,2,4,6,1965,52.2321,21.0778,7103,0.294790267944336
48,3,1,4,1969,52.185081,21.063239,8313,0.814390540122986
62,3,2,5,2009,52.304556,20.927293,9759,1.97594261169434
65,2,11,17,2004,52.229001,20.989,12693,1.99802279472351
62.11,3,2,5,2009,52.305394,20.928626,9902,1.82554864883423
29,1,7,10,1979,52.20997,20.96727,10552,1.17297863960266
75,3,2,4,2018,52.24053,21.034167,13200,2.81069326400757
94,3,2,3,2002,52.2421,21.1192,6596,1.36635065078735
94,3,2,3,2002,52.241602,21.119201,6596,1.31795692443848
56,3,6,10,1974,52.178636,21.058501,8393,1.93377614021301
52,3,2,6,2008,52.194157,21.034696,11500,2.44196820259094
44,2,0,2,2016,52.15613,21.11163,12160,2.22471928596497
39,2,8,10,2001,52.331618,20.940584,7924,1.02511835098267
51,2,2,3,2001,52.143497,21.059255,10883,2.47822332382202
65,3,6,12,1981,52.316029,20.965343,5924,1.83132839202881
88,3,1,5,2017,52.254361,20.993398,14773,2.77296495437622
31,2,10,11,1974,52.176416,21.059471,11130,2.74032402038574
62,3,8,8,1979,52.2345,20.8919,7178,1.13536906242371
81,4,2,4,1998,52.2399,21.1218,6771,1.77014422416687
51,2,0,5,2005,52.259153,20.936253,12550,2.81273746490479
76,3,2,8,2013,52.18275,21.057427,10974,2.37682795524597
37,2,3,4,1969,52.199004,21.035765,10244,1.29999017715454
33.4,1,0,4,1929,52.260314,21.041352,13743,2.08803653717041
69,3,2,3,2003,52.201,20.9267,8682,1.91721105575562
41,2,1,10,1978,52.2828,21.0256,8927,1.18387866020203
51,2,1,4,2015,52.2459,21.0995,9393,1.93180537223816
65.05,3,4,6,2014,52.1799,20.9478,10377,2.55454039573669
73,3,4,4,2014,52.3244,21.0539,8973,1.97109508514404
46,3,4,6,1970,52.2334,20.9572,10218,0.907210230827332
93,3,0,4,2010,52.15613,21.11163,10000,2.18002820014954
53,2,2,4,1951,52.189039,21.024419,11227,0.392603993415833
102,4,1,2,2018,52.187614,21.135386,5964,1.82712006568909
47,3,10,10,1986,52.294634,21.023058,6958,1.18857002258301
57,3,2,5,1955,52.2403,20.9706,10509,1.89220952987671
52.84,2,3,4,2010,52.15985,21.07652,23657,2.82659602165222
41,2,1,10,1975,52.24053,21.034167,9147,1.4095458984375
47,3,2,3,1968,52.2205,20.9784,10852,0.675404787063599
57,3,7,10,1978,52.228,21.0882,7895,0.49846625328064
44,2,5,7,2008,52.3459,20.9435,7387,1.74115824699402
90,4,0,1,2013,52.2652,21.1485,7667,2.21305727958679
108,4,1,4,2000,52.1399,21.0576,11575,1.904296875
84,4,8,10,1978,52.2762,20.9212,6893,0.908769369125366
56,3,4,10,1970,52.2682,20.9586,8000,1.02653074264526
59,2,1,2,2002,52.309013,21.057155,7458,1.83693051338196
43,2,2,5,2019,52.33206,20.935744,6496,2.34696269035339
87,4,10,12,1989,52.220688,21.09872,7015,0.868473649024963
51,3,1,2,2018,52.325829,21.048545,7236,0.355411052703857
56,2,5,6,2001,52.18975,20.899275,8036,1.27736759185791
74,3,6,10,2008,52.26727,20.94554,9987,2.4388062953949
48,2,10,11,1978,52.29359,20.92645,8855,0.449977278709412
38,2,1,4,1986,52.253333,21.049075,7869,2.82582187652588
55,2,5,7,2013,52.248322,21.062867,13637,2.58448481559753
100,4,5,6,1956,52.221925,21.01594,14400,0.93996274471283
57,2,4,13,1975,52.281334,20.936476,7702,1.43828988075256
57,3,1,2,1969,52.245623,21.108092,9474,1.21740007400513
37,2,6,10,1980,52.258001,21.055027,10136,1.73812508583069
30,1,0,4,2001,52.33057,20.94768,9167,2.35719037055969
43,2,3,7,2019,52.176451,20.993539,11396,0.553454875946045
57,3,7,15,1981,52.2269,21.0957,8422,0.826937198638916
36,2,8,11,1971,52.2299,20.9928,15417,1.44508647918701
59.4,3,3,3,2000,52.24091,20.91133,9243,0.881821751594543
44,2,5,7,2018,52.225195,20.929785,9205,0.355411052703857
48,3,3,4,1968,52.291477,20.932167,9167,1.7570915222168
46,2,6,12,1979,52.2736,20.9195,9348,0.958398818969727
45,3,8,12,1967,52.2135,20.9547,12045,1.09501338005066
66,3,6,10,1989,52.242737,20.915688,14849,2.09734845161438
60,3,0,4,2002,52.2432,20.9001,9167,1.21455144882202
60,2,4,6,2009,52.230784,20.935209,9167,1.91833829879761
49,2,0,3,1961,52.19832,21.01715,12143,0.981650948524475
40,2,2,3,1963,52.192466,21.010388,11625,1.87270069122314
61,3,0,20,1992,52.24053,21.034167,7033,0.795841097831726
70,2,4,4,1920,52.22241,21.0154,25715,0.4739089012146
57,2,5,6,2001,52.189,20.8986,7895,1.27736759185791
82,3,3,3,2009,52.2338,20.9292,8318,0.850859522819519
75,3,2,3,2014,52.246329,21.101067,8667,1.63639235496521
50,2,1,4,1955,52.207657,21.030294,10800,0.194006204605103
27,2,11,15,1975,52.235524,20.992164,14778,0.656031131744385
47,2,1,4,1968,52.199004,21.035765,9979,1.01536011695862
106,3,4,5,1930,52.225892,21.011248,10850,0.983248710632324
43,2,2,3,1950,52.20438,21.036586,10931,1.59552788734436
31,1,1,10,1975,52.176037,21.016931,11707,0.349421143531799
38,2,5,10,1975,52.236035,20.899208,13027,2.63486194610596
48,2,7,17,2010,52.2538,20.9975,17500,2.81167554855347
47,2,4,4,1960,52.2426,20.9449,8064,1.30251479148865
46,2,1,2,1965,52.2471,21.1017,8457,0.7275230884552
135.8,4,4,6,2004,52.186,21.0512,10973,1.32516622543335
54,3,9,10,1976,52.24053,21.034167,8482,2.80647850036621
37,2,2,10,1979,52.24053,21.034167,11865,1.67024993896484
49,2,2,2,1950,52.19974,21.00654,10592,1.69816541671753
120,4,4,5,1999,52.1999,20.9068,6034,1.79143452644348
54,2,3,3,1958,52.2445,21.0779,8093,0.699847459793091
48,3,4,4,1965,52.2007,21.0298,9584,1.77995705604553
70,3,1,6,2017,52.2347,20.8967,11000,2.69780850410461
54,4,3,4,1970,52.24053,21.034167,8056,1.90213203430176
37,2,8,14,2018,52.23338,20.95718,13514,2.72772574424744
50,2,5,7,2015,52.2926,20.9394,12900,1.82859492301941
172,5,4,11,2002,52.234666,20.990752,14535,2.14320349693298
20,1,3,15,1970,52.23566,21.005,17000,0.784650325775147
86,3,3,6,2008,52.2498,21.0322,12733,1.9675829410553
38,2,12,15,1971,52.2374,20.9991,12895,0.935400485992432
81,3,3,4,2012,52.1985,20.9293,10124,2.28907346725464
57,2,3,3,1956,52.2619,21.1802,6737,1.4036283493042
81,4,2,4,1998,52.2407,21.1229,6771,1.77014422416687
55,2,0,5,2005,52.2394,20.8978,11000,1.91876626014709
53,2,3,6,2011,52.1405,21.0615,12383,1.77435111999512
63,3,2,4,2005,52.197319,20.862923,8778,1.68452620506287
90,3,2,3,1936,52.21739,20.97525,12223,1.81691336631775
53,3,2,5,2012,52.318405,20.996801,8680,1.91278648376465
58,2,2,3,2010,52.157212,21.078594,10173,1.63607597351074
40,2,4,4,1962,52.193259,20.96976,10225,2.6410539150238
74,3,11,15,2007,52.23706,21.1295,10676,1.91682076454163
68,3,6,15,2018,52.259148,20.984402,14250,1.91597104072571
55,3,1,5,1937,52.186898,21.018233,14364,1.3803129196167
26,1,0,5,1954,52.23914,20.972306,14231,2.07843732833862
69,2,0,4,1912,52.229676,21.012229,16087,0.958806276321411
53,3,4,4,1962,52.24053,21.034167,10755,2.5332362651825
72,3,1,2,2011,52.24053,21.034167,10403,2.35795712471008
51,2,4,9,1979,52.2782,21.0535,9706,1.52128386497498
121,5,2,4,2010,52.3109,21.078,6191,1.97726488113403
60.5,2,1,4,1937,52.2449,21.0888,10248,2.43396759033203
69,2,2,7,1990,52.2002,20.9647,10131,1.89016008377075
65,3,2,4,2010,52.3109,21.078,6139,1.92114853858948
47.42,2,2,2,1953,52.1921,20.9815,12000,2.22314167022705
50,2,5,7,2015,52.291,20.94,13200,2.86201143264771
76,3,3,6,2005,52.193,20.9,10329,1.83849406242371
42,3,4,5,2010,52.19482,20.858982,15715,1.18285512924194
55,3,1,5,1937,52.201273,21.010973,13819,1.1972131729126
55,3,1,5,1937,52.200884,21.011302,14364,1.47962713241577
52,2,1,3,1986,52.140626,21.064439,10962,0.807019710540772
55,3,1,5,1937,52.186898,21.018233,14164,1.78024697303772
48,3,2,9,1968,52.246667,20.986534,11146,0.750934839248657
53,2,0,5,2017,52.22371,20.94311,15567,2.66731190681458
100,3,7,9,1997,52.224486,21.038343,11500,0.93996274471283
110,5,4,4,1996,52.147546,21.019109,8173,1.11500310897827
60,2,3,5,1913,52.230041,20.99904,13834,2.80232644081116
65,3,8,8,1978,52.15613,21.111628,7524,0.827669501304626
64,3,2,10,1988,52.268725,21.038028,7532,0.805698156356812
55,3,4,8,2018,52.177971,21.005682,12600,2.17406058311462
54,2,1,3,1950,52.24491,21.088778,9167,1.6368134021759
58,2,11,13,2014,52.16579,21.014943,10328,1.87540173530579
87,5,3,3,2007,52.332015,20.948504,6150,1.89281177520752
26,1,6,10,1980,52.268191,20.958572,10770,0.873371720314026
57,2,2,10,2000,52.23954,20.98173,10878,1.80305361747742
36,1,1,4,1955,52.247069,20.994521,13195,2.88879442214966
102,4,2,3,1999,52.194733,20.926106,7795,1.50088858604431
34,1,4,5,2009,52.258246,20.933955,11750,0.854721188545227
56,3,11,15,1982,52.281265,20.931064,8929,1.0228955745697
45,2,2,12,1978,52.281664,20.984463,10667,1.87982416152954
54,3,9,9,1980,52.269035,21.046288,8834,0.988788485527039
43,2,0,10,1979,52.267597,21.054724,9047,2.03773999214172
46,3,2,10,1969,52.225072,21.03537,13022,2.1641948223114
46,2,0,4,1959,52.24053,21.034167,10000,2.42392110824585
36,2,3,4,1968,52.201256,20.97321,10000,0.872279405593872
44,3,1,4,1966,52.200572,21.029504,11137,1.61853790283203
52,2,4,6,2009,52.24053,21.034167,13920,2.17458534240723
132,5,0,3,2009,52.16392,21.14981,7046,1.9064736366272
37,2,3,10,1978,52.206349,21.048879,10514,0.967726349830627
165,5,0,3,2000,52.13421,21.010788,5758,0.865393996238709
58,2,2,4,2010,52.162335,21.077747,11173,1.62827444076538
63,3,2,7,2006,52.230825,20.99643,15239,2.60712575912476
45,3,4,4,1970,52.19141,21.06084,14245,0.87946093082428
53,3,7,10,1975,52.2836,21.0264,7642,0.941683292388916
108,3,2,3,2008,52.24053,21.034167,13556,2.55370235443115
47,2,2,4,2001,52.3344,20.9371,7000,1.829106092453
37,2,8,10,1970,52.2968,20.9395,10352,1.37569832801819
87,4,5,7,2009,52.190435,20.907027,13506,1.16088342666626
46.55,2,1,4,1950,52.2503,20.9954,10742,0.583771705627441
34,1,2,5,1938,52.24053,21.034167,10265,1.06578660011292
39,2,6,12,2009,52.244821,20.96218,11924,1.90142273902893
63,3,0,3,1980,52.3161,20.9575,7620,1.62343215942383
64,3,11,12,1982,52.226469,21.099206,7454,1.47865080833435
82,3,8,16,2006,52.221061,20.9853,10488,1.78162884712219
35,2,8,10,1989,52.2464,20.9044,10800,-0.011292576789856
56,2,4,4,2001,52.30407,20.930415,8911,1.68489718437195
50,2,4,4,1992,52.175148,21.0128,8580,1.85286641120911
75,3,1,7,1956,52.253183,20.998468,11987,1.79694271087646
82,3,8,16,2006,52.2211,20.9853,9013,1.79762887954712
103,4,3,4,2001,52.24635,20.90441,6496,0.632587432861328
26,1,6,10,1970,52.2467,20.9865,12116,0.0439877510070801
37,2,8,14,2018,52.23338,20.95718,13514,2.72772574424744
55,3,3,4,2009,52.310275,21.062073,7800,2.45924258232117
145,4,1,10,2014,52.1868,20.9928,11380,2.51205444335937
49,3,0,5,1950,52.20501,21.010079,9490,0.691605448722839
36,2,8,10,1968,52.2916,20.934,10000,1.61870121955872
49,3,4,10,1970,52.2088,21.0503,9184,1.91833829879761
51,2,2,5,2019,52.2543,21.0818,10785,2.0950436592102
36,2,9,10,1975,52.201273,21.010973,11945,1.96524500846863
53,3,11,15,1980,52.2735,20.933,8208,1.3632447719574
39,1,3,3,1950,52.2507,20.9937,11975,1.46828079223633
